"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"BWA",-2.314,-1.779,3.549,2.064,3.255,2.833,1.876,6.713,1.583,2.654,0.522,1.66,1.695,5.986,1.763
"BRA",-6.918,-3.798,-1.442,-6.345,-3.718,0.796,0.562,-4.719,-1.226,0.381,-3.767,-2.846,-1.662,-1.505,-4.244
"BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGR",-3.456,-16.052,-14.364,-20.813,0.601,-13.118,-14.263,-7.72,-5.932,-1.429,-5.794,-1.505,-3.856,-7.585,4.946
"BFA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",-10.19,-16.186,-9.522,-17.155,-6.881,-6.484,-5.989,-4.97,-1.116,-5.411,0.612,0.051,2.661,-0.541,0.843
"CPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",-4.793,-3.233,-6.654,1.7,1.125,-3.141,-3.83,-6.424,-0.292,-1.52,2.409,1.307,6.145,-0.659,0.346
"CHN",-7.95,-19.184,-20.465,-13.574,-13.014,-18.652,-10.766,-5.21,-11.534,-7.84,-13.062,-8.44,-7.028,-9.784,-8.859
"COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRV",-6.414,-9.807,-9.336,-19.707,-0.433,-9.403,-12.825,-6.648,-0.53,-1.954,-9.227,2.299,4.365,-0.275,5.024
"CUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",2.026,-0.293,-1.303,-1.191,2.017,0.272,-1.886,1.191,0.788,-0.687,1.668,2.002,-0.744,0.597,0.639
"CZE",-15.406,-20.775,-19.669,-38.824,-1.873,-17.931,-11.765,-14.009,-13.348,-1.051,-14.408,-7.577,-2.327,-3.348,-0.388
"COD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",-24.98,-14.236,-19.995,-18.614,-22.034,-11.575,-12.216,-21.01,-9.807,-16.513,-22.518,-11.663,1.811,-9.937,0.227
"DJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
